"","X.1","X","Y","Z","X_noisy","Y_noisy","Z_noisy","X_proj","Y_proj","Z_proj","distance","theta","phi","kappa","theta_global","phi_global"
"1",1,0.912481149207907,-0.405849247847983,-0.0516191859819891,1.19622242137246,-0.193338379874498,-0.273156582322569,0.963023957671235,-0.155647887056496,-0.219905871240584,0.24215229702031,2.98135422882556,1.34907835134253,1,6.12294687989956,1.79251430549492
"2",2,0.973029783546887,0.119976167195236,0.197024769092209,1.25101274480612,-0.111352081579577,-0.283538954975416,0.97161048647877,-0.0864826133256492,-0.220213124397376,0.287566119749971,3.05281706143682,1.34876338493217,1,6.19440971020034,1.79282927979079
"3",3,0.596715618846474,-0.372648652275269,0.710678163574832,0.379021210445138,-0.149253348664968,1.11560334959066,0.319136355982611,-0.125671515259165,0.939339478858738,0.187646611443364,2.76645439179375,2.79149575370265,1,5.90804704443844,0.350096908108074
"4",4,0.483857911631207,0.875114055282381,-0.00754397767181498,0.536540807899417,0.639861620829413,0.122273498494281,0.635750351471314,0.758175788936619,0.144882585821885,0.156051102977299,0.87300115585472,1.42540202151349,1,0.873001155916723,1.42540202156463
"5",5,0.7694695504325,0.172170749612894,-0.615039709234241,0.786818462276115,0.306908773138282,-0.629002192192746,0.747178599710005,0.291446729972926,-0.597313103592651,0.0530527267858317,3.5135033970535,0.930649632112509,1,0.371910759889567,2.21094302830247
"6",6,0.413644521527384,-0.252534122249449,-0.874714082949441,-0.00201769168309734,-0.298027721775783,-0.700609680419813,-0.002650093552057,-0.391438071827486,-0.920200637322179,0.238633781728829,4.70561893609249,2.73938904442246,1,4.70561893614276,2.73938905653117
"7",7,0.576216521820354,0.194556375017214,0.793802454595231,0.778926516864662,0.417498273758494,0.807181374302535,0.650785836839747,0.348815914630863,0.674392506089017,0.196901457216577,3.63361746785724,2.31093798001653,1,0.492024832370046,0.830654680648534
"8",8,0.868587829740815,0.466910872485087,0.165980177073514,0.390501380729045,0.799212923793816,-0.161590697224754,0.431936681038712,0.884015766901641,-0.178736754593357,0.0959291071271387,1.11630423081052,1.75049870840758,1,1.11630423280708,1.75049870745764
"9",9,0.662509967001308,0.268193048938431,-0.699394761293673,0.350821609802547,0.242326517636812,-1.23016127581817,0.269456927780989,0.186124677453546,-0.944854786998322,0.301958028346929,3.7460767771978,0.333645417936042,1,0.604484123791788,2.80794723298733
"10",10,0.720272398129456,-0.14901878601727,0.677496179994235,0.969811009393785,0.00474736666331108,0.625476532742322,0.84037163077373,0.00411374200243809,0.541995017797616,0.154026353443883,3.14648776052428,2.14360555682897,1,0.00489510710953979,0.997987087247503
"11",11,-0.0628108563470173,-0.0999947740557326,0.993003444851274,-0.198029042475583,-0.549937872889783,0.914806799971185,-0.18241504658313,-0.506576921414413,0.842677027971197,0.0855959869932529,1.22515799413818,2.57303238739864,1,4.36675064720034,0.568560267802291
"12",12,0.783487717637474,0.208788493306717,0.585281437749339,0.729393769942412,0.143112207895965,0.32072251032903,0.900994860840788,0.176781555786599,0.396177412622373,0.190457348676787,0.193745869416869,1.16344647310743,1,0.193745859491662,1.16344648843088
"13",13,0.730623838595056,-0.321920370963914,0.602126300069247,0.325139515384562,-0.624455840183519,0.706432198960862,0.326003386782082,-0.626114972659201,0.708309136478262,0.00264988467815818,5.19244068511726,0.783696333041606,1,5.1924406773572,0.783696327292912
"14",14,0.0910996642833358,-0.995336494403432,-0.0317193013187508,-0.271641327066505,-0.944217181265715,-0.110582184872713,-0.274740923130233,-0.954991280411058,-0.111843996246542,0.0112818826485242,4.43226405982227,1.68287487061161,1,4.43226417368961,1.68287482304864
